max_features,ngram_range,min_df,max_df,sublinear_tf,learning_rate,weight_decay,batch_size,use_pos_weight,config_index,best_epoch,epochs_trained,pos_weight_value,val_threshold,val_accuracy,val_balanced_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_macro_f1,val_weighted_f1,val_roc_auc,val_pr_auc,val_brier_score,val_tn,val_fp,val_fn,val_tp,runtime_seconds
10000,"[1, 1]",2,0.95,True,0.0005,0.001,32,True,15,20,25,1.6569620253164556,0.49,0.7777777777777778,0.7725367979953253,0.6864864864864865,0.7514792899408284,0.7175141242937854,0.767181970571801,0.7795437456454406,0.856998462801912,0.8215580614469731,0.19932912895161123,223,58,42,127,19.44016456604004
20000,"[1, 1]",2,0.95,True,0.0005,0.001,32,True,47,20,25,1.6569620253164556,0.49,0.7777777777777778,0.7725367979953253,0.6864864864864865,0.7514792899408284,0.7175141242937854,0.767181970571801,0.7795437456454406,0.856998462801912,0.8215580614469731,0.19932912895161123,223,58,42,127,18.98765254020691
10000,"[1, 1]",2,0.95,True,0.001,0.0001,32,True,9,7,12,1.6569620253164556,0.49,0.7755555555555556,0.7719366590157721,0.6808510638297872,0.757396449704142,0.7170868347338936,0.7655415757463206,0.7776014223983025,0.8557139548105877,0.8205318323398875,0.20863379312507843,221,60,41,128,9.280304431915283
20000,"[1, 1]",2,0.95,True,0.001,0.0001,32,True,41,7,12,1.6569620253164556,0.49,0.7755555555555556,0.7719366590157721,0.6808510638297872,0.757396449704142,0.7170868347338936,0.7655415757463206,0.7776014223983025,0.8557139548105877,0.8205318323398875,0.20863379312507843,221,60,41,128,9.295008659362793
10000,"[1, 1]",1,0.95,True,0.001,0.0001,64,True,2,9,14,1.6569620253164556,0.49,0.7733333333333333,0.771336520036219,0.675392670157068,0.7633136094674556,0.7166666666666667,0.7638888888888888,0.775641975308642,0.8523868685379773,0.8214725293219781,0.21488733486197822,219,62,40,129,10.48727560043335
20000,"[1, 1]",1,0.95,True,0.001,0.0001,64,True,34,9,14,1.6569620253164556,0.49,0.7733333333333333,0.771336520036219,0.675392670157068,0.7633136094674556,0.7166666666666667,0.7638888888888888,0.775641975308642,0.8523868685379773,0.8214725293219781,0.21488733486197822,219,62,40,129,10.377862215042114
10000,"[1, 1]",1,0.95,True,0.0005,0.0001,32,True,5,11,16,1.6569620253164556,0.49,0.7711111111111111,0.7707363810566658,0.6701030927835051,0.7692307692307693,0.7162534435261708,0.7622235560275175,0.7736650062500748,0.8542188717387186,0.8223005367492954,0.21586772472829724,217,64,39,130,12.600682497024536
20000,"[1, 1]",1,0.95,True,0.0005,0.0001,32,True,37,11,16,1.6569620253164556,0.49,0.7711111111111111,0.7707363810566658,0.6701030927835051,0.7692307692307693,0.7162534435261708,0.7622235560275175,0.7736650062500748,0.8542188717387186,0.8223005367492954,0.21586772472829724,217,64,39,130,12.62965703010559
10000,"[1, 2]",2,0.95,True,0.0005,0.0001,32,True,29,7,12,1.6569620253164556,0.5,0.7955555555555556,0.7738002484785951,0.7483870967741936,0.6863905325443787,0.7160493827160493,0.7781635802469136,0.7936231138545953,0.8615047695255744,0.8300071966958827,0.22029693486300972,242,39,53,116,9.77241826057434
20000,"[1, 2]",2,0.95,True,0.0005,0.0001,32,True,61,7,12,1.6569620253164556,0.5,0.7955555555555556,0.7738002484785951,0.7483870967741936,0.6863905325443787,0.7160493827160493,0.7781635802469136,0.7936231138545953,0.8615047695255744,0.8300071966958827,0.22029693486300972,242,39,53,116,9.549668312072754
10000,"[1, 1]",2,0.95,True,0.0005,0.001,64,True,16,9,14,1.6569620253164556,0.5,0.7822222222222223,0.771378635052328,0.7028571428571428,0.727810650887574,0.7151162790697675,0.7694286431320061,0.7829463870763854,0.8522394659815957,0.8182397970501346,0.23115572856884536,229,52,46,123,10.292451858520508
20000,"[1, 1]",2,0.95,True,0.0005,0.001,64,True,48,9,14,1.6569620253164556,0.5,0.7822222222222223,0.771378635052328,0.7028571428571428,0.727810650887574,0.7151162790697675,0.7694286431320061,0.7829463870763854,0.8522394659815957,0.8182397970501346,0.23115572856884536,229,52,46,123,10.030961513519287
10000,"[1, 1]",2,0.95,True,0.0005,0.0001,64,True,14,9,14,1.6569620253164556,0.5,0.7822222222222223,0.771378635052328,0.7028571428571428,0.727810650887574,0.7151162790697675,0.7694286431320061,0.7829463870763854,0.8523658110299227,0.8182366162132935,0.23084116302188512,229,52,46,123,10.224701881408691
20000,"[1, 1]",2,0.95,True,0.0005,0.0001,64,True,46,9,14,1.6569620253164556,0.5,0.7822222222222223,0.771378635052328,0.7028571428571428,0.727810650887574,0.7151162790697675,0.7694286431320061,0.7829463870763854,0.8523658110299227,0.8182366162132935,0.23084116302188512,229,52,46,123,10.164241075515747
10000,"[1, 1]",1,0.95,True,0.001,0.001,64,True,4,11,16,1.6569620253164556,0.49,0.7733333333333333,0.7701572995851671,0.6772486772486772,0.757396449704142,0.7150837988826816,0.7634459584819312,0.7754827626488555,0.8536292615131926,0.8225256807765001,0.21081687428069423,220,61,41,128,12.002830743789673
20000,"[1, 1]",1,0.95,True,0.001,0.001,64,True,36,11,16,1.6569620253164556,0.49,0.7733333333333333,0.7701572995851671,0.6772486772486772,0.757396449704142,0.7150837988826816,0.7634459584819312,0.7754827626488555,0.8536292615131926,0.8225256807765001,0.21081687428069423,220,61,41,128,11.747825384140015
10000,"[1, 1]",2,0.95,True,0.001,0.0001,64,True,10,5,10,1.6569620253164556,0.5,0.7844444444444445,0.7707995535808292,0.711764705882353,0.7159763313609467,0.7138643067846607,0.7704793904689793,0.7845702557415207,0.8518183158205057,0.8175686019868186,0.2286813706081491,232,49,48,121,7.3707544803619385
20000,"[1, 1]",2,0.95,True,0.001,0.0001,64,True,42,5,10,1.6569620253164556,0.5,0.7844444444444445,0.7707995535808292,0.711764705882353,0.7159763313609467,0.7138643067846607,0.7704793904689793,0.7845702557415207,0.8518183158205057,0.8175686019868186,0.2286813706081491,232,49,48,121,7.301151514053345
10000,"[1, 1]",2,0.95,True,0.001,0.001,64,True,12,5,10,1.6569620253164556,0.5,0.7844444444444445,0.7707995535808292,0.711764705882353,0.7159763313609467,0.7138643067846607,0.7704793904689793,0.7845702557415207,0.8519657183768873,0.8175111729609096,0.2290416022342661,232,49,48,121,7.365837097167969
20000,"[1, 1]",2,0.95,True,0.001,0.001,64,True,44,5,10,1.6569620253164556,0.5,0.7844444444444445,0.7707995535808292,0.711764705882353,0.7159763313609467,0.7138643067846607,0.7704793904689793,0.7845702557415207,0.8519657183768873,0.8175111729609096,0.2290416022342661,232,49,48,121,7.20463490486145
10000,"[1, 1]",1,0.95,True,0.0005,0.0001,64,True,6,11,16,1.6569620253164556,0.5,0.7866666666666666,0.7690412516582787,0.7239263803680982,0.6982248520710059,0.7108433734939759,0.7709146444934668,0.7858657163866734,0.8522184084735411,0.8215212188397794,0.22649644852365922,236,45,51,118,11.988984107971191
20000,"[1, 1]",1,0.95,True,0.0005,0.0001,64,True,38,11,16,1.6569620253164556,0.5,0.7866666666666666,0.7690412516582787,0.7239263803680982,0.6982248520710059,0.7108433734939759,0.7709146444934668,0.7858657163866734,0.8522184084735411,0.8215212188397794,0.22649644852365922,236,45,51,118,11.865208864212036
10000,"[1, 1]",1,0.95,True,0.0005,0.001,64,True,8,11,16,1.6569620253164556,0.5,0.7866666666666666,0.7690412516582787,0.7239263803680982,0.6982248520710059,0.7108433734939759,0.7709146444934668,0.7858657163866734,0.8520710059171599,0.8212386024541,0.22707144460750536,236,45,51,118,11.935153722763062
20000,"[1, 1]",1,0.95,True,0.0005,0.001,64,True,40,11,16,1.6569620253164556,0.5,0.7866666666666666,0.7690412516582787,0.7239263803680982,0.6982248520710059,0.7108433734939759,0.7709146444934668,0.7858657163866734,0.8520710059171599,0.8212386024541,0.22707144460750536,236,45,51,118,11.769094467163086
10000,"[1, 1]",2,0.95,True,0.0005,0.0001,32,True,13,6,11,1.6569620253164556,0.5,0.78,0.7660616142685674,0.7058823529411765,0.7100591715976331,0.7079646017699115,0.7657470067673087,0.7801284053444386,0.8520078333929962,0.81685815620442,0.22967251819451537,231,50,49,120,8.571603298187256
20000,"[1, 1]",2,0.95,True,0.0005,0.0001,32,True,45,6,11,1.6569620253164556,0.5,0.78,0.7660616142685674,0.7058823529411765,0.7100591715976331,0.7079646017699115,0.7657470067673087,0.7801284053444386,0.8520078333929962,0.81685815620442,0.22967251819451537,231,50,49,120,8.429797887802124
