run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,calibration_method,calibration_cv,max_features,ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,68,validation_positive_f1,2.2730727195739746,72705,sigmoid,3,200000,"[2, 5]",1,0.95,True,1.0,balanced,0.51,450,169,281,0.37555555555555553,0.8266666666666667,0.7963528396049612,0.8321167883211679,0.6745562130177515,0.7450980392156863,0.8068924539512775,0.822272397174358,0.8735075491166376,0.8397703943576875,0.14793574473911061,258,23,55,114,0.08185053380782918,0.3254437869822485
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,3,validation_positive_f1,2.2485616207122803,50000,sigmoid,3,50000,"[2, 5]",1,0.95,True,1.0,,0.5,450,169,281,0.37555555555555553,0.8266666666666667,0.7963528396049612,0.8321167883211679,0.6745562130177515,0.7450980392156863,0.8068924539512775,0.822272397174358,0.8711912232306429,0.8379193558489813,0.14882382586503928,258,23,55,114,0.08185053380782918,0.3254437869822485
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,55,validation_positive_f1,3.03088641166687,100000,sigmoid,3,100000,"[3, 6]",1,0.95,True,10.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.7977777777777778,0.7956263555770811,0.7074468085106383,0.7869822485207101,0.7450980392156863,0.7887552811179721,0.7996210835469855,0.8701804628440271,0.8335516367086165,0.15219226070166453,226,55,36,133,0.19572953736654805,0.21301775147928995
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,35,validation_positive_f1,2.224494218826294,72705,sigmoid,3,100000,"[2, 5]",1,0.95,True,1.0,,0.47000000000000003,450,169,281,0.37555555555555553,0.8155555555555556,0.795710585609299,0.7756410256410257,0.7159763313609467,0.7446153846153846,0.800133779264214,0.813951690821256,0.8716755459158964,0.8387221516926558,0.14776113561481274,246,35,48,121,0.12455516014234876,0.28402366863905326
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,67,validation_positive_f1,2.2359142303466797,72705,sigmoid,3,200000,"[2, 5]",1,0.95,True,1.0,,0.47000000000000003,450,169,281,0.37555555555555553,0.8155555555555556,0.795710585609299,0.7756410256410257,0.7159763313609467,0.7446153846153846,0.800133779264214,0.813951690821256,0.8716755459158964,0.8387221516926558,0.14776113561481274,246,35,48,121,0.12455516014234876,0.28402366863905326
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,62,validation_positive_f1,2.6631433963775635,71858,sigmoid,3,100000,"[3, 6]",2,0.95,True,3.0,balanced,0.39,450,169,281,0.37555555555555553,0.7911111111111111,0.7950051590894733,0.6884422110552764,0.8106508875739645,0.7445652173913043,0.783936744033998,0.7937358795539573,0.8714649708353513,0.8340700843601033,0.152049908480065,219,62,32,137,0.2206405693950178,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,94,validation_positive_f1,2.6863906383514404,71858,sigmoid,3,200000,"[3, 6]",2,0.95,True,3.0,balanced,0.39,450,169,281,0.37555555555555553,0.7911111111111111,0.7950051590894733,0.6884422110552764,0.8106508875739645,0.7445652173913043,0.783936744033998,0.7937358795539573,0.8714649708353513,0.8340700843601033,0.152049908480065,219,62,32,137,0.2206405693950178,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,22,validation_positive_f1,2.649387836456299,50000,sigmoid,3,50000,"[3, 6]",1,0.95,True,3.0,balanced,0.39,450,169,281,0.37555555555555553,0.7911111111111111,0.7950051590894733,0.6884422110552764,0.8106508875739645,0.7445652173913043,0.783936744033998,0.7937358795539573,0.8702436353681906,0.8310687756983651,0.15370097397888483,219,62,32,137,0.2206405693950178,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,60,validation_positive_f1,2.5127172470092773,71858,sigmoid,3,100000,"[3, 6]",2,0.95,True,1.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.82,0.7957316431173536,0.7972972972972973,0.6982248520710059,0.7444794952681388,0.8027714800525942,0.8172797073767255,0.874328791930763,0.8375558447000079,0.14875905471213313,251,30,51,118,0.10676156583629894,0.30177514792899407
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,92,validation_positive_f1,2.4892430305480957,71858,sigmoid,3,200000,"[3, 6]",2,0.95,True,1.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.82,0.7957316431173536,0.7972972972972973,0.6982248520710059,0.7444794952681388,0.8027714800525942,0.8172797073767255,0.874328791930763,0.8375558447000079,0.14875905471213313,251,30,51,118,0.10676156583629894,0.30177514792899407
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,61,validation_positive_f1,2.6862599849700928,71858,sigmoid,3,100000,"[3, 6]",2,0.95,True,3.0,,0.39,450,169,281,0.37555555555555553,0.7911111111111111,0.7938259386384215,0.6903553299492385,0.8047337278106509,0.7431693989071039,0.7835697181801438,0.793624908754767,0.8696961401587736,0.8325994199170796,0.15209247991712313,220,61,33,136,0.21708185053380782,0.1952662721893491
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,93,validation_positive_f1,2.7093255519866943,71858,sigmoid,3,200000,"[3, 6]",2,0.95,True,3.0,,0.39,450,169,281,0.37555555555555553,0.7911111111111111,0.7938259386384215,0.6903553299492385,0.8047337278106509,0.7431693989071039,0.7835697181801438,0.793624908754767,0.8696961401587736,0.8325994199170796,0.15209247991712313,220,61,33,136,0.21708185053380782,0.1952662721893491
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,14,validation_positive_f1,2.397488594055176,41932,sigmoid,3,50000,"[2, 5]",2,0.95,True,3.0,balanced,0.4,450,169,281,0.37555555555555553,0.7911111111111111,0.7926467181873698,0.6923076923076923,0.7988165680473372,0.7417582417582418,0.7831925537149418,0.7935050935797203,0.8686643222641033,0.8319223915909184,0.15335531208385578,221,60,34,135,0.21352313167259787,0.20118343195266272
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,46,validation_positive_f1,2.4179883003234863,41932,sigmoid,3,100000,"[2, 5]",2,0.95,True,3.0,balanced,0.4,450,169,281,0.37555555555555553,0.7911111111111111,0.7926467181873698,0.6923076923076923,0.7988165680473372,0.7417582417582418,0.7831925537149418,0.7935050935797203,0.8686643222641033,0.8319223915909184,0.15335531208385578,221,60,34,135,0.21352313167259787,0.20118343195266272
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,78,validation_positive_f1,2.350912094116211,41932,sigmoid,3,200000,"[2, 5]",2,0.95,True,3.0,balanced,0.4,450,169,281,0.37555555555555553,0.7911111111111111,0.7926467181873698,0.6923076923076923,0.7988165680473372,0.7417582417582418,0.7831925537149418,0.7935050935797203,0.8686643222641033,0.8319223915909184,0.15335531208385578,221,60,34,135,0.21352313167259787,0.20118343195266272
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,28,validation_positive_f1,2.4607112407684326,50000,sigmoid,3,50000,"[3, 6]",2,0.95,True,1.0,balanced,0.4,450,169,281,0.37555555555555553,0.7888888888888889,0.7920465792078166,0.6868686868686869,0.8047337278106509,0.7411444141689373,0.7814540082101722,0.7914866182826573,0.8734654341005286,0.8361303868810149,0.14999505565798157,219,62,33,136,0.2206405693950178,0.1952662721893491
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,20,validation_positive_f1,2.4270670413970947,50000,sigmoid,3,50000,"[3, 6]",1,0.95,True,1.0,balanced,0.49,450,169,281,0.37555555555555553,0.8177777777777778,0.7927730632356966,0.7959183673469388,0.6923076923076923,0.740506329113924,0.8000476851049072,0.8148668670404409,0.8732127440038745,0.8358876235034878,0.15006892102044958,251,30,52,117,0.10676156583629894,0.3076923076923077
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,5,validation_positive_f1,2.4585742950439453,50000,sigmoid,3,50000,"[2, 5]",1,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.7911111111111111,0.7914674977363179,0.694300518134715,0.7928994082840237,0.7403314917127072,0.7828051510608145,0.7933763729430102,0.8682221145949589,0.8331728265302375,0.15260135801416896,222,59,35,134,0.2099644128113879,0.20710059171597633
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,58,validation_positive_f1,2.36210036277771,71858,sigmoid,3,100000,"[3, 6]",2,0.95,True,0.1,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.8155555555555556,0.7921729242561435,0.7866666666666666,0.6982248520710059,0.7398119122257053,0.7984773846842812,0.8130785689406379,0.8740129293099455,0.8409580283931422,0.1427719444091095,249,32,51,118,0.11387900355871886,0.30177514792899407
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,90,validation_positive_f1,2.328505754470825,71858,sigmoid,3,200000,"[3, 6]",2,0.95,True,0.1,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.8155555555555556,0.7921729242561435,0.7866666666666666,0.6982248520710059,0.7398119122257053,0.7984773846842812,0.8130785689406379,0.8740129293099455,0.8409580283931422,0.1427719444091095,249,32,51,118,0.11387900355871886,0.30177514792899407
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,6,validation_positive_f1,2.406933307647705,50000,sigmoid,3,50000,"[2, 5]",1,0.95,True,3.0,balanced,0.4,450,169,281,0.37555555555555553,0.7888888888888889,0.7908673587567647,0.6887755102040817,0.7988165680473372,0.7397260273972602,0.7810779669696581,0.7913700052632328,0.8695276800943376,0.8334237290527895,0.15252418248160382,220,61,34,135,0.21708185053380782,0.20118343195266272
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,4,validation_positive_f1,2.228391647338867,50000,sigmoid,3,50000,"[2, 5]",1,0.95,True,1.0,balanced,0.51,450,169,281,0.37555555555555553,0.8244444444444444,0.7922150392722526,0.835820895522388,0.6627218934911243,0.7392739273927392,0.803472809592517,0.8194511980511283,0.8733180315441471,0.8391836178615436,0.14901912930104105,259,22,57,112,0.07829181494661921,0.33727810650887574
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,11,validation_positive_f1,2.1690545082092285,41932,sigmoid,3,50000,"[2, 5]",2,0.95,True,1.0,,0.5,450,169,281,0.37555555555555553,0.8244444444444444,0.7922150392722526,0.835820895522388,0.6627218934911243,0.7392739273927392,0.803472809592517,0.8194511980511283,0.870601613005117,0.8364251306165892,0.14952191620356012,259,22,57,112,0.07829181494661921,0.33727810650887574
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,43,validation_positive_f1,2.235356569290161,41932,sigmoid,3,100000,"[2, 5]",2,0.95,True,1.0,,0.5,450,169,281,0.37555555555555553,0.8244444444444444,0.7922150392722526,0.835820895522388,0.6627218934911243,0.7392739273927392,0.803472809592517,0.8194511980511283,0.870601613005117,0.8364251306165892,0.14952191620356012,259,22,57,112,0.07829181494661921,0.33727810650887574
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,75,validation_positive_f1,2.20845365524292,41932,sigmoid,3,200000,"[2, 5]",2,0.95,True,1.0,,0.5,450,169,281,0.37555555555555553,0.8244444444444444,0.7922150392722526,0.835820895522388,0.6627218934911243,0.7392739273927392,0.803472809592517,0.8194511980511283,0.870601613005117,0.8364251306165892,0.14952191620356012,259,22,57,112,0.07829181494661921,0.33727810650887574
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,12,validation_positive_f1,2.212214231491089,41932,sigmoid,3,50000,"[2, 5]",2,0.95,True,1.0,balanced,0.5,450,169,281,0.37555555555555553,0.8222222222222222,0.7916149002926993,0.8248175182481752,0.6686390532544378,0.738562091503268,0.8019409784115666,0.8177152791531875,0.8724336162058581,0.8372555743205925,0.1497245807766494,257,24,56,113,0.08540925266903915,0.33136094674556216
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,44,validation_positive_f1,2.210066080093384,41932,sigmoid,3,100000,"[2, 5]",2,0.95,True,1.0,balanced,0.5,450,169,281,0.37555555555555553,0.8222222222222222,0.7916149002926993,0.8248175182481752,0.6686390532544378,0.738562091503268,0.8019409784115666,0.8177152791531875,0.8724336162058581,0.8372555743205925,0.1497245807766494,257,24,56,113,0.08540925266903915,0.33136094674556216
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,76,validation_positive_f1,2.236060380935669,41932,sigmoid,3,200000,"[2, 5]",2,0.95,True,1.0,balanced,0.5,450,169,281,0.37555555555555553,0.8222222222222222,0.7916149002926993,0.8248175182481752,0.6686390532544378,0.738562091503268,0.8019409784115666,0.8177152791531875,0.8724336162058581,0.8372555743205925,0.1497245807766494,257,24,56,113,0.08540925266903915,0.33136094674556216
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,15,validation_positive_f1,2.7643628120422363,41932,sigmoid,3,50000,"[2, 5]",2,0.95,True,10.0,,0.39,450,169,281,0.37555555555555553,0.7844444444444445,0.7896670807976585,0.6782178217821783,0.8106508875739645,0.738544474393531,0.7775898175370302,0.787307769608301,0.8647476257659669,0.8281294678760238,0.1556366348841311,216,65,32,137,0.2313167259786477,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,47,validation_positive_f1,2.773463249206543,41932,sigmoid,3,100000,"[2, 5]",2,0.95,True,10.0,,0.39,450,169,281,0.37555555555555553,0.7844444444444445,0.7896670807976585,0.6782178217821783,0.8106508875739645,0.738544474393531,0.7775898175370302,0.787307769608301,0.8647476257659669,0.8281294678760238,0.1556366348841311,216,65,32,137,0.2313167259786477,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,79,validation_positive_f1,2.7156834602355957,41932,sigmoid,3,200000,"[2, 5]",2,0.95,True,10.0,,0.39,450,169,281,0.37555555555555553,0.7844444444444445,0.7896670807976585,0.6782178217821783,0.8106508875739645,0.738544474393531,0.7775898175370302,0.787307769608301,0.8647476257659669,0.8281294678760238,0.1556366348841311,216,65,32,137,0.2313167259786477,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,37,validation_positive_f1,2.4683640003204346,72705,sigmoid,3,100000,"[2, 5]",1,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.7888888888888889,0.7896881383057129,0.6907216494845361,0.7928994082840237,0.7382920110192838,0.7806916293457685,0.7912444232403603,0.8689801848849208,0.834608625203866,0.15122748602642377,221,60,35,134,0.21352313167259787,0.20710059171597633
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,69,validation_positive_f1,2.4290616512298584,72705,sigmoid,3,200000,"[2, 5]",1,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.7888888888888889,0.7896881383057129,0.6907216494845361,0.7928994082840237,0.7382920110192838,0.7806916293457685,0.7912444232403603,0.8689801848849208,0.834608625203866,0.15122748602642377,221,60,35,134,0.21352313167259787,0.20710059171597633
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,39,validation_positive_f1,2.88204026222229,72705,sigmoid,3,100000,"[2, 5]",1,0.95,True,10.0,,0.44,450,169,281,0.37555555555555553,0.8044444444444444,0.7903514498094295,0.7425149700598802,0.7337278106508875,0.7380952380952381,0.791033434650456,0.8042091635708658,0.8664953989344901,0.8319513484076875,0.1532845445719627,238,43,45,124,0.15302491103202848,0.26627218934911245
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,71,validation_positive_f1,2.8152732849121094,72705,sigmoid,3,200000,"[2, 5]",1,0.95,True,10.0,,0.44,450,169,281,0.37555555555555553,0.8044444444444444,0.7903514498094295,0.7425149700598802,0.7337278106508875,0.7380952380952381,0.791033434650456,0.8042091635708658,0.8664953989344901,0.8319513484076875,0.1532845445719627,238,43,45,124,0.15302491103202848,0.26627218934911245
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,40,validation_positive_f1,2.9249331951141357,72705,sigmoid,3,100000,"[2, 5]",1,0.95,True,10.0,balanced,0.39,450,169,281,0.37555555555555553,0.7822222222222223,0.7890669418181052,0.6731707317073171,0.8165680473372781,0.7379679144385026,0.7758280636831296,0.7852510341617924,0.8671902967002885,0.8325412207960342,0.15318904560901178,214,67,31,138,0.23843416370106763,0.1834319526627219
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,72,validation_positive_f1,2.853644371032715,72705,sigmoid,3,200000,"[2, 5]",1,0.95,True,10.0,balanced,0.39,450,169,281,0.37555555555555553,0.7822222222222223,0.7890669418181052,0.6731707317073171,0.8165680473372781,0.7379679144385026,0.7758280636831296,0.7852510341617924,0.8671902967002885,0.8325412207960342,0.15318904560901178,214,67,31,138,0.23843416370106763,0.1834319526627219
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,34,validation_positive_f1,2.147357940673828,72705,sigmoid,3,100000,"[2, 5]",1,0.95,True,0.1,balanced,0.51,450,169,281,0.37555555555555553,0.82,0.7910147613131462,0.8142857142857143,0.6745562130177515,0.7378640776699029,0.8004041200532256,0.8159696417130747,0.8721388110930953,0.8405638579081165,0.1424494141042908,255,26,55,114,0.09252669039145907,0.3254437869822485
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,66,validation_positive_f1,2.124284029006958,72705,sigmoid,3,200000,"[2, 5]",1,0.95,True,0.1,balanced,0.51,450,169,281,0.37555555555555553,0.82,0.7910147613131462,0.8142857142857143,0.6745562130177515,0.7378640776699029,0.8004041200532256,0.8159696417130747,0.8721388110930953,0.8405638579081165,0.1424494141042908,255,26,55,114,0.09252669039145907,0.3254437869822485
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,2,validation_positive_f1,2.1213462352752686,50000,sigmoid,3,50000,"[2, 5]",1,0.95,True,0.1,balanced,0.51,450,169,281,0.37555555555555553,0.82,0.7910147613131462,0.8142857142857143,0.6745562130177515,0.7378640776699029,0.8004041200532256,0.8159696417130747,0.8720124660447682,0.8399993341803039,0.14287118367654572,255,26,55,114,0.09252669039145907,0.3254437869822485
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,10,validation_positive_f1,2.102342128753662,41932,sigmoid,3,50000,"[2, 5]",2,0.95,True,0.1,balanced,0.51,450,169,281,0.37555555555555553,0.82,0.7910147613131462,0.8142857142857143,0.6745562130177515,0.7378640776699029,0.8004041200532256,0.8159696417130747,0.8715913158836783,0.8389121224207732,0.14322145457605298,255,26,55,114,0.09252669039145907,0.3254437869822485
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,42,validation_positive_f1,2.1121222972869873,41932,sigmoid,3,100000,"[2, 5]",2,0.95,True,0.1,balanced,0.51,450,169,281,0.37555555555555553,0.82,0.7910147613131462,0.8142857142857143,0.6745562130177515,0.7378640776699029,0.8004041200532256,0.8159696417130747,0.8715913158836783,0.8389121224207732,0.14322145457605298,255,26,55,114,0.09252669039145907,0.3254437869822485
