run_id,config_id,fit_seconds,selected_threshold,vector_size,window,pooling,normalize_embeddings,C,class_weight,threshold,support,positive_support,negative_support,positive_rate,accuracy,balanced_accuracy,positive_precision,positive_recall,positive_f1,macro_f1,weighted_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,false_positive_rate,false_negative_rate
FASTTEXT-EMB_LOG-REG_20260708_174434,65,0.2204289436340332,0.36000000000000004,200,3,mean,False,3.0,,0.36000000000000004,450,169,281,0.37555555555555553,0.7777777777777778,0.7760744593484807,0.680628272251309,0.7692307692307693,0.7222222222222222,0.7685185185185185,0.7800411522633746,0.8520078333929962,0.8065008213984387,0.14498719728345236,220,61,39,130,0.21708185053380782,0.23076923076923078
FASTTEXT-EMB_LOG-REG_20260708_174434,85,0.08353519439697266,0.35000000000000003,200,5,mean,False,0.3,,0.35000000000000003,450,169,281,0.37555555555555553,0.7777777777777778,0.7760744593484807,0.680628272251309,0.7692307692307693,0.7222222222222222,0.7685185185185185,0.7800411522633746,0.84682768641159,0.803948039749182,0.146641310353909,220,61,39,130,0.21708185053380782,0.23076923076923078
FASTTEXT-EMB_LOG-REG_20260708_174434,16,0.07136988639831543,0.5,100,3,mean,False,1.0,balanced,0.5,450,169,281,0.37555555555555553,0.7844444444444445,0.7766956558360884,0.7,0.7455621301775148,0.7220630372492837,0.7730097400402498,0.7856898082904458,0.8472698940807345,0.7955064944654668,0.15674289319914497,227,54,43,126,0.19217081850533807,0.25443786982248523
FASTTEXT-EMB_LOG-REG_20260708_174434,21,0.07627534866333008,0.38,100,3,mean,True,1.0,,0.38,450,169,281,0.37555555555555553,0.7844444444444445,0.7766956558360884,0.7,0.7455621301775148,0.7220630372492837,0.7730097400402498,0.7856898082904458,0.8443850154772684,0.7937499381837663,0.15038022741480153,227,54,43,126,0.19217081850533807,0.25443786982248523
FASTTEXT-EMB_LOG-REG_20260708_174434,24,0.11333918571472168,0.54,100,3,mean,True,3.0,balanced,0.54,450,169,281,0.37555555555555553,0.7911111111111111,0.777316852323696,0.7218934911242604,0.7218934911242604,0.7218934911242604,0.777316852323696,0.7911111111111111,0.8443639579692139,0.7829150378422562,0.16010180395123502,234,47,47,122,0.16725978647686832,0.2781065088757396
FASTTEXT-EMB_LOG-REG_20260708_174434,64,0.14482831954956055,0.48000000000000004,200,3,mean,False,1.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.7755555555555556,0.7754743203689275,0.6752577319587629,0.7751479289940828,0.721763085399449,0.7668405743570802,0.7780598604976462,0.8520288909010507,0.8017595524902741,0.15451815095685134,218,63,38,131,0.22419928825622776,0.22485207100591717
FASTTEXT-EMB_LOG-REG_20260708_174434,20,0.05032014846801758,0.44,100,3,mean,True,0.3,balanced,0.44,450,169,281,0.37555555555555553,0.7666666666666667,0.7742529849017667,0.6538461538461539,0.8047337278106509,0.7214854111405835,0.7603602963924715,0.770035823388497,0.8435848301711976,0.791404853894019,0.15996999279083637,209,72,33,136,0.25622775800711745,0.1952662721893491
FASTTEXT-EMB_LOG-REG_20260708_174434,37,0.05253958702087402,0.36000000000000004,100,5,mean,False,0.3,,0.36000000000000004,450,169,281,0.37555555555555553,0.7822222222222223,0.7749162964054834,0.6961325966850829,0.7455621301775148,0.72,0.7709090909090909,0.7835797979797979,0.843395312598707,0.7979829067980527,0.14845611466373584,226,55,43,126,0.19572953736654805,0.25443786982248523
FASTTEXT-EMB_LOG-REG_20260708_174434,46,0.07472848892211914,0.48000000000000004,100,5,mean,True,1.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.7733333333333333,0.7736949609383226,0.6717948717948717,0.7751479289940828,0.7197802197802198,0.7647408561587665,0.7759310589907604,0.8432479100423256,0.7895597021426155,0.16053863506596142,217,64,38,131,0.2277580071174377,0.22485207100591717
FASTTEXT-EMB_LOG-REG_20260708_174434,47,0.11000680923461914,0.35000000000000003,100,5,mean,True,3.0,,0.35000000000000003,450,169,281,0.37555555555555553,0.7733333333333333,0.7736949609383226,0.6717948717948717,0.7751479289940828,0.7197802197802198,0.7647408561587665,0.7759310589907604,0.8419423445429468,0.788522089458882,0.15036519495097295,217,64,38,131,0.2277580071174377,0.22485207100591717
FASTTEXT-EMB_LOG-REG_20260708_174434,96,0.2453005313873291,0.51,200,5,mean,True,3.0,balanced,0.51,450,169,281,0.37555555555555553,0.78,0.7743161574259302,0.6902173913043478,0.7514792899408284,0.7195467422096318,0.769279769642293,0.7816577675810888,0.8569984628019122,0.8121341229299504,0.15438041570036776,224,57,42,127,0.20284697508896798,0.2485207100591716
FASTTEXT-EMB_LOG-REG_20260708_174434,95,0.23488426208496094,0.38,200,5,mean,True,3.0,,0.38,450,169,281,0.37555555555555553,0.7777777777777778,0.773716018446377,0.6844919786096256,0.757396449704142,0.7191011235955056,0.7676387970918704,0.7797192847176324,0.8549348270125713,0.812348505933746,0.14447140671356762,222,59,41,128,0.2099644128113879,0.24260355029585798
FASTTEXT-EMB_LOG-REG_20260708_174434,58,0.15351223945617676,0.5,200,3,idf_weighted_mean,True,1.0,balanced,0.5,450,169,281,0.37555555555555553,0.7777777777777778,0.773716018446377,0.6844919786096256,0.757396449704142,0.7191011235955056,0.7676387970918704,0.7797192847176324,0.8419423445429468,0.7703028041055701,0.16285174601471739,222,59,41,128,0.2099644128113879,0.24260355029585798
FASTTEXT-EMB_LOG-REG_20260708_174434,17,0.10709285736083984,0.39,100,3,mean,False,3.0,,0.39,450,169,281,0.37555555555555553,0.7844444444444445,0.7743372149339847,0.7045454545454546,0.7337278106508875,0.7188405797101449,0.7720329024676851,0.7852718805762284,0.8471856640485165,0.7990733943943973,0.14755350418676413,229,52,45,124,0.18505338078291814,0.26627218934911245
FASTTEXT-EMB_LOG-REG_20260708_174434,92,0.09442758560180664,0.51,200,5,mean,True,0.3,balanced,0.51,450,169,281,0.37555555555555553,0.78,0.7731369369748784,0.6923076923076923,0.7455621301775148,0.717948717948718,0.7688104245481295,0.7814693381906497,0.847417296637116,0.8015155606510294,0.15759555900448763,225,56,43,126,0.199288256227758,0.25443786982248523
FASTTEXT-EMB_LOG-REG_20260708_174434,62,0.09644770622253418,0.46,200,3,mean,False,0.3,balanced,0.46,450,169,281,0.37555555555555553,0.7688888888888888,0.7713154625281644,0.6633165829145728,0.7810650887573964,0.717391304347826,0.7609512912716574,0.7717928880171443,0.847417296637116,0.7972257813323614,0.15582291453279512,214,67,37,132,0.23843416370106763,0.21893491124260356
FASTTEXT-EMB_LOG-REG_20260708_174434,91,0.07991194725036621,0.37,200,5,mean,True,0.3,,0.37,450,169,281,0.37555555555555553,0.7755555555555556,0.7719366590157721,0.6808510638297872,0.757396449704142,0.7170868347338936,0.7655415757463206,0.7776014223983025,0.8455431784202657,0.8023020877416238,0.14846190246205238,221,60,41,128,0.21352313167259787,0.24260355029585798
