run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,max_features,ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,142,validation_positive_f1,1.333043098449707,2240,20000,"[1, 3]",5,0.95,True,3.0,balanced,0.47000000000000003,450,169,281,0.37555555555555553,0.7977777777777778,0.7979847964791846,0.703125,0.7988165680473372,0.7479224376731302,0.7895456344209807,0.7999051856115568,0.8846680283855208,0.8393175885239514,0.13650741318608284,224,57,34,135,0.20284697508896798,0.20118343195266272
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,214,validation_positive_f1,1.3700437545776367,2240,50000,"[1, 3]",5,0.95,True,3.0,balanced,0.47000000000000003,450,169,281,0.37555555555555553,0.7977777777777778,0.7979847964791846,0.703125,0.7988165680473372,0.7479224376731302,0.7895456344209807,0.7999051856115568,0.8846680283855208,0.8393175885239514,0.13650741318608284,224,57,34,135,0.20284697508896798,0.20118343195266272
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,69,validation_positive_f1,1.3657832145690918,2240,10000,"[1, 3]",5,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7980058539872392,0.717391304347826,0.7810650887573964,0.7478753541076487,0.7925848434157987,0.8037125385324939,0.8835519804586326,0.8390516125712131,0.13141170821503612,229,52,37,132,0.18505338078291814,0.21893491124260356
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,141,validation_positive_f1,1.399839162826538,2240,20000,"[1, 3]",5,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7980058539872392,0.717391304347826,0.7810650887573964,0.7478753541076487,0.7925848434157987,0.8037125385324939,0.8835519804586326,0.8390516125712131,0.13141170821503612,229,52,37,132,0.18505338078291814,0.21893491124260356
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,213,validation_positive_f1,1.4048662185668945,2240,50000,"[1, 3]",5,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7980058539872392,0.717391304347826,0.7810650887573964,0.7478753541076487,0.7925848434157987,0.8037125385324939,0.8835519804586326,0.8390516125712131,0.13141170821503612,229,52,37,132,0.18505338078291814,0.21893491124260356
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,53,validation_positive_f1,1.4002125263214111,10000,10000,"[1, 3]",1,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8066666666666666,0.7980269114952936,0.7329545454545454,0.7633136094674556,0.7478260869565218,0.7955346650998825,0.8074088001044523,0.8871106993198424,0.8504339826337215,0.12963040324665337,234,47,40,129,0.16725978647686832,0.23668639053254437
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,175,validation_positive_f1,1.319256067276001,32281,50000,"[1, 2]",1,0.95,True,10.0,,0.47000000000000003,450,169,281,0.37555555555555553,0.8155555555555556,0.7980690265114027,0.76875,0.727810650887574,0.7477203647416414,0.8011806727385965,0.8144863493956165,0.8862262839815537,0.8527620975253262,0.12856398304982236,244,37,46,123,0.13167259786476868,0.27218934911242604
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,126,validation_positive_f1,1.4125287532806396,20000,20000,"[1, 3]",1,0.95,True,3.0,balanced,0.51,450,169,281,0.37555555555555553,0.8088888888888889,0.7974478300237949,0.7426900584795322,0.7514792899408284,0.7470588235294118,0.7967436974789917,0.8091097105508869,0.8888374149803111,0.8531191397805054,0.13331027559033046,237,44,42,127,0.15658362989323843,0.2485207100591716
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,45,validation_positive_f1,1.2697083950042725,1956,10000,"[1, 2]",5,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7968266335361873,0.7197802197802198,0.7751479289940828,0.7464387464387464,0.7921629069170053,0.8035431424138163,0.8816989197498368,0.8367892671367577,0.13244428593725735,230,51,38,131,0.18149466192170818,0.22485207100591717
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,117,validation_positive_f1,1.292099952697754,1956,20000,"[1, 2]",5,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7968266335361873,0.7197802197802198,0.7751479289940828,0.7464387464387464,0.7921629069170053,0.8035431424138163,0.8816989197498368,0.8367892671367577,0.13244428593725735,230,51,38,131,0.18149466192170818,0.22485207100591717
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,189,validation_positive_f1,1.3445115089416504,1956,50000,"[1, 2]",5,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7968266335361873,0.7197802197802198,0.7751479289940828,0.7464387464387464,0.7921629069170053,0.8035431424138163,0.8816989197498368,0.8367892671367577,0.13244428593725735,230,51,38,131,0.18149466192170818,0.22485207100591717
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,29,validation_positive_f1,1.339625597000122,10000,10000,"[1, 2]",1,0.95,True,3.0,,0.43,450,169,281,0.37555555555555553,0.8111111111111111,0.7968687485522963,0.7530120481927711,0.7396449704142012,0.746268656716418,0.7979130894201558,0.8107668148930861,0.8863736865379351,0.8500095156168861,0.12923497905486003,240,41,44,125,0.14590747330960854,0.2603550295857988
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,43,validation_positive_f1,1.327784538269043,1956,10000,"[1, 2]",5,0.95,True,1.0,,0.37,450,169,281,0.37555555555555553,0.7955555555555556,0.7962054370485796,0.6994818652849741,0.7988165680473372,0.7458563535911602,0.7874263180595207,0.7977726203272014,0.8842679357324854,0.8415622444706449,0.13552907051758564,223,58,34,135,0.20640569395017794,0.20118343195266272
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,115,validation_positive_f1,1.2951147556304932,1956,20000,"[1, 2]",5,0.95,True,1.0,,0.37,450,169,281,0.37555555555555553,0.7955555555555556,0.7962054370485796,0.6994818652849741,0.7988165680473372,0.7458563535911602,0.7874263180595207,0.7977726203272014,0.8842679357324854,0.8415622444706449,0.13552907051758564,223,58,34,135,0.20640569395017794,0.20118343195266272
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,187,validation_positive_f1,1.2725098133087158,1956,50000,"[1, 2]",5,0.95,True,1.0,,0.37,450,169,281,0.37555555555555553,0.7955555555555556,0.7962054370485796,0.6994818652849741,0.7988165680473372,0.7458563535911602,0.7874263180595207,0.7977726203272014,0.8842679357324854,0.8415622444706449,0.13552907051758564,223,58,34,135,0.20640569395017794,0.20118343195266272
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,67,validation_positive_f1,1.3634355068206787,2240,10000,"[1, 3]",5,0.95,True,1.0,,0.38,450,169,281,0.37555555555555553,0.8,0.7962264945566342,0.7135135135135136,0.7810650887573964,0.7457627118644068,0.7904637735146209,0.8015893710808966,0.8858261913285181,0.8436621811036928,0.13491655938485297,228,53,37,132,0.18861209964412812,0.21893491124260356
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,139,validation_positive_f1,1.3189198970794678,2240,20000,"[1, 3]",5,0.95,True,1.0,,0.38,450,169,281,0.37555555555555553,0.8,0.7962264945566342,0.7135135135135136,0.7810650887573964,0.7457627118644068,0.7904637735146209,0.8015893710808966,0.8858261913285181,0.8436621811036928,0.13491655938485297,228,53,37,132,0.18861209964412812,0.21893491124260356
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,211,validation_positive_f1,1.3890869617462158,2240,50000,"[1, 3]",5,0.95,True,1.0,,0.38,450,169,281,0.37555555555555553,0.8,0.7962264945566342,0.7135135135135136,0.7810650887573964,0.7457627118644068,0.7904637735146209,0.8015893710808966,0.8858261913285181,0.8436621811036928,0.13491655938485297,228,53,37,132,0.18861209964412812,0.21893491124260356
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,174,validation_positive_f1,1.3316278457641602,32281,50000,"[1, 2]",1,0.95,True,3.0,balanced,0.51,450,169,281,0.37555555555555553,0.8088888888888889,0.7962686095727431,0.7455621301775148,0.7455621301775148,0.7455621301775148,0.7962686095727431,0.8088888888888889,0.8859525363768452,0.8509622186064648,0.13527340599462015,238,43,43,126,0.15302491103202848,0.25443786982248523
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,68,validation_positive_f1,1.370774745941162,2240,10000,"[1, 3]",5,0.95,True,1.0,balanced,0.46,450,169,281,0.37555555555555553,0.7888888888888889,0.795584240560972,0.6813725490196079,0.8224852071005917,0.7453083109919572,0.7825213281715004,0.79178323466952,0.8869001242392975,0.8442209197480804,0.14160217407287798,216,65,30,139,0.2313167259786477,0.17751479289940827
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,140,validation_positive_f1,1.3435964584350586,2240,20000,"[1, 3]",5,0.95,True,1.0,balanced,0.46,450,169,281,0.37555555555555553,0.7888888888888889,0.795584240560972,0.6813725490196079,0.8224852071005917,0.7453083109919572,0.7825213281715004,0.79178323466952,0.8869001242392975,0.8442209197480804,0.14160217407287798,216,65,30,139,0.2313167259786477,0.17751479289940827
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,212,validation_positive_f1,1.3471393585205078,2240,50000,"[1, 3]",5,0.95,True,1.0,balanced,0.46,450,169,281,0.37555555555555553,0.7888888888888889,0.795584240560972,0.6813725490196079,0.8224852071005917,0.7453083109919572,0.7825213281715004,0.79178323466952,0.8869001242392975,0.8442209197480804,0.14160217407287798,216,65,30,139,0.2313167259786477,0.17751479289940827
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,20,validation_positive_f1,1.2815158367156982,1050,10000,"[1, 1]",5,0.95,True,1.0,balanced,0.46,450,169,281,0.37555555555555553,0.7888888888888889,0.795584240560972,0.6813725490196079,0.8224852071005917,0.7453083109919572,0.7825213281715004,0.79178323466952,0.8786666385899893,0.8335067736886453,0.14514677447328844,216,65,30,139,0.2313167259786477,0.17751479289940827
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,92,validation_positive_f1,1.2052814960479736,1050,20000,"[1, 1]",5,0.95,True,1.0,balanced,0.46,450,169,281,0.37555555555555553,0.7888888888888889,0.795584240560972,0.6813725490196079,0.8224852071005917,0.7453083109919572,0.7825213281715004,0.79178323466952,0.8786666385899893,0.8335067736886453,0.14514677447328844,216,65,30,139,0.2313167259786477,0.17751479289940827
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,164,validation_positive_f1,1.2049891948699951,1050,50000,"[1, 1]",5,0.95,True,1.0,balanced,0.46,450,169,281,0.37555555555555553,0.7888888888888889,0.795584240560972,0.6813725490196079,0.8224852071005917,0.7453083109919572,0.7825213281715004,0.79178323466952,0.8786666385899893,0.8335067736886453,0.14514677447328844,216,65,30,139,0.2313167259786477,0.17751479289940827
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,44,validation_positive_f1,1.2810289859771729,1956,10000,"[1, 2]",5,0.95,True,1.0,balanced,0.49,450,169,281,0.37555555555555553,0.8022222222222222,0.7956474130851355,0.7222222222222222,0.7692307692307693,0.7449856733524355,0.7917305862224973,0.8033648756479349,0.8856577312640822,0.8423130578997033,0.14228273614982526,231,50,39,130,0.17793594306049823,0.23076923076923078
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,116,validation_positive_f1,1.2787492275238037,1956,20000,"[1, 2]",5,0.95,True,1.0,balanced,0.49,450,169,281,0.37555555555555553,0.8022222222222222,0.7956474130851355,0.7222222222222222,0.7692307692307693,0.7449856733524355,0.7917305862224973,0.8033648756479349,0.8856577312640822,0.8423130578997033,0.14228273614982526,231,50,39,130,0.17793594306049823,0.23076923076923078
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,188,validation_positive_f1,1.287123203277588,1956,50000,"[1, 2]",5,0.95,True,1.0,balanced,0.49,450,169,281,0.37555555555555553,0.8022222222222222,0.7956474130851355,0.7222222222222222,0.7692307692307693,0.7449856733524355,0.7917305862224973,0.8033648756479349,0.8856577312640822,0.8423130578997033,0.14228273614982526,231,50,39,130,0.17793594306049823,0.23076923076923078
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,32,validation_positive_f1,1.3434491157531738,10000,10000,"[1, 2]",1,0.95,True,10.0,balanced,0.53,450,169,281,0.37555555555555553,0.8111111111111111,0.7956895281012445,0.7560975609756098,0.7337278106508875,0.7447447447447447,0.7974164640831307,0.810525869785129,0.8842258207163765,0.8475960654134064,0.13512574695201388,241,40,45,124,0.1423487544483986,0.26627218934911245
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,31,validation_positive_f1,1.3237476348876953,10000,10000,"[1, 2]",1,0.95,True,10.0,,0.45,450,169,281,0.37555555555555553,0.8111111111111111,0.7956895281012445,0.7560975609756098,0.7337278106508875,0.7447447447447447,0.7974164640831307,0.810525869785129,0.8834677504264146,0.8471416878574025,0.1313268655391983,241,40,45,124,0.1423487544483986,0.26627218934911245
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,16,validation_positive_f1,1.2315571308135986,2667,10000,"[1, 1]",2,0.95,True,10.0,balanced,0.53,450,169,281,0.37555555555555553,0.8044444444444444,0.7950683316136369,0.7314285714285714,0.757396449704142,0.7441860465116279,0.792956332608332,0.8050947149257339,0.8700541177957001,0.8269896202138303,0.14689270869495152,234,47,41,128,0.16725978647686832,0.24260355029585798
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,88,validation_positive_f1,1.2434322834014893,2667,20000,"[1, 1]",2,0.95,True,10.0,balanced,0.53,450,169,281,0.37555555555555553,0.8044444444444444,0.7950683316136369,0.7314285714285714,0.757396449704142,0.7441860465116279,0.792956332608332,0.8050947149257339,0.8700541177957001,0.8269896202138303,0.14689270869495152,234,47,41,128,0.16725978647686832,0.24260355029585798
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,160,validation_positive_f1,1.1868138313293457,2667,50000,"[1, 1]",2,0.95,True,10.0,balanced,0.53,450,169,281,0.37555555555555553,0.8044444444444444,0.7950683316136369,0.7314285714285714,0.757396449704142,0.7441860465116279,0.792956332608332,0.8050947149257339,0.8700541177957001,0.8269896202138303,0.14689270869495152,234,47,41,128,0.16725978647686832,0.24260355029585798
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,61,validation_positive_f1,1.3827197551727295,9989,10000,"[1, 3]",2,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7944681926340837,0.7247191011235955,0.7633136094674556,0.7435158501440923,0.7912877623234024,0.8031776604658084,0.8877424245614773,0.8514968262765522,0.12929725792818872,232,49,40,129,0.17437722419928825,0.23668639053254437
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,133,validation_positive_f1,1.4778847694396973,9989,20000,"[1, 3]",2,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7944681926340837,0.7247191011235955,0.7633136094674556,0.7435158501440923,0.7912877623234024,0.8031776604658084,0.8877424245614773,0.8514968262765522,0.12929725792818872,232,49,40,129,0.17437722419928825,0.23668639053254437
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,205,validation_positive_f1,1.3867816925048828,9989,50000,"[1, 3]",2,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.7944681926340837,0.7247191011235955,0.7633136094674556,0.7435158501440923,0.7912877623234024,0.8031776604658084,0.8877424245614773,0.8514968262765522,0.12929725792818872,232,49,40,129,0.17437722419928825,0.23668639053254437
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,30,validation_positive_f1,1.3393781185150146,10000,10000,"[1, 2]",1,0.95,True,3.0,balanced,0.51,450,169,281,0.37555555555555553,0.8066666666666666,0.7944892501421381,0.7411764705882353,0.7455621301775148,0.7433628318584071,0.7941413089773319,0.806779507726931,0.8874897344648235,0.8511965338793704,0.13445395777985653,237,44,43,126,0.15658362989323843,0.25443786982248523
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,196,validation_positive_f1,1.4960527420043945,50000,50000,"[1, 3]",1,0.95,True,1.0,balanced,0.5,450,169,281,0.37555555555555553,0.8111111111111111,0.7945103076501927,0.7592592592592593,0.727810650887574,0.743202416918429,0.7969087655769649,0.8102756790208672,0.8822885299753627,0.8467650270361168,0.14845118811283933,242,39,46,123,0.1387900355871886,0.27218934911242604
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,22,validation_positive_f1,1.2240607738494873,1050,10000,"[1, 1]",5,0.95,True,3.0,balanced,0.54,450,169,281,0.37555555555555553,0.8044444444444444,0.793889111162585,0.7341040462427746,0.7514792899408284,0.7426900584795322,0.792491982644784,0.8048871282148022,0.8754869548737603,0.8278718464211902,0.14371560729817798,235,46,42,127,0.16370106761565836,0.2485207100591716
