run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,calibration_method,calibration_cv,word_max_features,word_ngram_range,char_max_features,char_ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,46,validation_positive_f1,2.0163180828094482,74183,sigmoid,3,20000,"[1, 2]",100000,"[3, 6]",1,0.95,True,1.0,balanced,0.42000000000000004,450,169,281,0.37555555555555553,0.8066666666666666,0.8003853523973973,0.7277777777777777,0.7751479289940828,0.7507163323782235,0.7964107977680591,0.807783642487307,0.8827728526606162,0.8458947051458685,0.14573611544764015,232,49,38,131,0.17437722419928825,0.22485207100591717
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,93,validation_positive_f1,1.9927003383636475,86464,sigmoid,3,50000,"[1, 2]",100000,"[3, 6]",1,0.95,True,1.0,,0.42000000000000004,450,169,281,0.37555555555555553,0.8066666666666666,0.8003853523973973,0.7277777777777777,0.7751479289940828,0.7507163323782235,0.7964107977680591,0.807783642487307,0.8808776769357114,0.8455167250592114,0.14419808067054343,232,49,38,131,0.17437722419928825,0.22485207100591717
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,75,validation_positive_f1,1.8670005798339844,68024,sigmoid,3,50000,"[1, 2]",50000,"[3, 5]",1,0.95,True,1.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8044444444444444,0.7997852134178441,0.7213114754098361,0.7810650887573964,0.75,0.7947080291970803,0.8058353609083536,0.8796563414685505,0.845069145738671,0.14458715169119335,230,51,37,132,0.18149466192170818,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,87,validation_positive_f1,1.9426605701446533,68024,sigmoid,3,50000,"[1, 2]",100000,"[3, 5]",1,0.95,True,1.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8044444444444444,0.7997852134178441,0.7213114754098361,0.7810650887573964,0.75,0.7947080291970803,0.8058353609083536,0.8796563414685505,0.845069145738671,0.14458715169119335,230,51,37,132,0.18149466192170818,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,76,validation_positive_f1,1.916358470916748,68024,sigmoid,3,50000,"[1, 2]",50000,"[3, 5]",1,0.95,True,1.0,balanced,0.45,450,169,281,0.37555555555555553,0.8133333333333334,0.7998273284339532,0.7544910179640718,0.7455621301775148,0.75,0.800531914893617,0.8131087470449173,0.880646044347112,0.8450229890869201,0.1445739908314258,240,41,43,126,0.14590747330960854,0.25443786982248523
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,88,validation_positive_f1,2.0005762577056885,68024,sigmoid,3,50000,"[1, 2]",100000,"[3, 5]",1,0.95,True,1.0,balanced,0.45,450,169,281,0.37555555555555553,0.8133333333333334,0.7998273284339532,0.7544910179640718,0.7455621301775148,0.75,0.800531914893617,0.8131087470449173,0.880646044347112,0.8450229890869201,0.1445739908314258,240,41,43,126,0.14590747330960854,0.25443786982248523
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,81,validation_positive_f1,2.0066864490509033,82281,sigmoid,3,50000,"[1, 2]",50000,"[3, 6]",1,0.95,True,1.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8044444444444444,0.7997852134178441,0.7213114754098361,0.7810650887573964,0.75,0.7947080291970803,0.8058353609083536,0.880267009202131,0.8446393235322937,0.14455054621585356,230,51,37,132,0.18149466192170818,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,94,validation_positive_f1,1.9750392436981201,86464,sigmoid,3,50000,"[1, 2]",100000,"[3, 6]",1,0.95,True,1.0,balanced,0.42000000000000004,450,169,281,0.37555555555555553,0.8044444444444444,0.7986059929667924,0.7237569060773481,0.7751479289940828,0.7485714285714286,0.7942857142857143,0.8056634920634921,0.8822042999431448,0.8461427413720739,0.14420790609006354,231,50,38,131,0.17793594306049823,0.22485207100591717
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,33,validation_positive_f1,2.014035940170288,70000,sigmoid,3,20000,"[1, 2]",50000,"[3, 6]",1,0.95,True,1.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8022222222222222,0.7980058539872392,0.717391304347826,0.7810650887573964,0.7478753541076487,0.7925848434157987,0.8037125385324939,0.8806249868390574,0.8450396280852466,0.14604808868249053,229,52,37,132,0.18505338078291814,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,27,validation_positive_f1,1.877242088317871,55743,sigmoid,3,20000,"[1, 2]",50000,"[3, 5]",1,0.95,True,1.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8022222222222222,0.7980058539872392,0.717391304347826,0.7810650887573964,0.7478753541076487,0.7925848434157987,0.8037125385324939,0.8801406641538041,0.844810170936701,0.1459976875527371,229,52,37,132,0.18505338078291814,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,39,validation_positive_f1,1.8783454895019531,55743,sigmoid,3,20000,"[1, 2]",100000,"[3, 5]",1,0.95,True,1.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8022222222222222,0.7980058539872392,0.717391304347826,0.7810650887573964,0.7478753541076487,0.7925848434157987,0.8037125385324939,0.8801406641538041,0.844810170936701,0.1459976875527371,229,52,37,132,0.18505338078291814,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,82,validation_positive_f1,2.001528024673462,82281,sigmoid,3,50000,"[1, 2]",50000,"[3, 6]",1,0.95,True,1.0,balanced,0.42000000000000004,450,169,281,0.37555555555555553,0.8044444444444444,0.7974267725157405,0.7262569832402235,0.7692307692307693,0.7471264367816092,0.7938530734632683,0.8054828141484813,0.8811303670323655,0.8448526771994526,0.1445632948711006,232,49,39,130,0.17437722419928825,0.23076923076923078
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,91,validation_positive_f1,1.9511430263519287,86464,sigmoid,3,50000,"[1, 2]",100000,"[3, 6]",1,0.95,True,0.1,,0.51,450,169,281,0.37555555555555553,0.8177777777777778,0.7939522836867485,0.7919463087248322,0.6982248520710059,0.7421383647798742,0.800622446994748,0.8151784852348944,0.8831940028217061,0.8504160737933015,0.13794986957593547,250,31,51,118,0.1103202846975089,0.30177514792899407
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,79,validation_positive_f1,1.8726475238800049,82281,sigmoid,3,50000,"[1, 2]",50000,"[3, 6]",1,0.95,True,0.1,,0.51,450,169,281,0.37555555555555553,0.8177777777777778,0.7939522836867485,0.7919463087248322,0.6982248520710059,0.7421383647798742,0.800622446994748,0.8151784852348944,0.8829413127250523,0.8500370212259675,0.13815532270958278,250,31,51,118,0.1103202846975089,0.30177514792899407
